variable_type,hardcoded_values,context,suggested_governance,impact,maintenance_risk,response_id,dashboard_id,issue_type,hardcoded_values_count,hardcoded_values_text,date_value,original_format,suggested_fix,urgency
lookup_codes,"[""'500'"", ""'560'"", ""'100'"", ""'400'"", ""'402'"", ""'9504'"", ""'9505'"", ""'110'"", ""'116'"", ""'350'"", ""'670'"", ""'180'"", ""'156'"", ""'301'"", ""'303'"", ""'5003'"", ""'850'"", ""'852'"", ""'961'"", ""'963'"", ""'158'"", ""'Post Courier'"", ""'5024'"", ""'9514'"", ""'9515'"", ""'5053'"", ""'450'"", ""'475'"", ""'9560'"", ""'9556'"", ""'305'""]",GL publication codes mapped to names in a large CASE statement.,Create and join to a `dim_gl_publication_codes` lookup table in `prstn_finance` dataset.,high,high,42,c441950c-1e3f-432c-9838-847d1d315b9e,hardcoded_variable,31.0,"'500', '560', '100', '400', '402', '9504', '9505', '110', '116', '350', '670', '180', '156', '301', '303', '5003', '850', '852', '961', '963', '158', 'Post Courier', '5024', '9514', '9515', '5053', '450', '475', '9560', '9556', '305'",,,,
filter_values,"[""'Sun'"", '202541', '202542', '202543', '202544', '202545', '202533', '202534', '202535', '202536', '202537', '202538', '202539', '202540', ""'DRAW'"", ""'RETURNS'"", ""'ADJUSTMENT'"", ""'Subscriptions'"", ""'DT'""]","Specific day of week, fiscal week IDs, charge types, sales channels, and derived publication names used as filters.",Replace with Looker Studio controls/parameters for user selection.,medium,medium,42,c441950c-1e3f-432c-9838-847d1d315b9e,hardcoded_variable,19.0,"'Sun', 202541, 202542, 202543, 202544, 202545, 202533, 202534, 202535, 202536, 202537, 202538, 202539, 202540, 'DRAW', 'RETURNS', 'ADJUSTMENT', 'Subscriptions', 'DT'",,,,
,,Used as a fixed cut-off date for 'Year-to-Date' calculations in the second query.,,high,,43,5491badf-5ec0-4b4f-a427-b12a3a3395dd,hardcoded_date,,,2025-06-18,"DATE(TIMESTAMP '2025-06-18 03:06:41.434326+00', 'Australia/Sydney')","Replace with `CURRENT_DATE()` for dynamic YTD, or a dashboard parameter for user-defined YTD cut-off.",high
lookup_codes,"[""'PMP'"", ""'TUBI'"", ""'PERFORMANCE'"", ""'PG'"", ""'OMP'"", ""'PROGRAMMATIC SOURCE'"", ""'Run of Audience Extension'"", ""'GUARANTEED'"", ""'NON-GUARANTEED'""]",These values are used in `CASE` statements to classify revenue types (programmatic_type) and filter data. They represent business categories.,"Create a `dim_programmatic_type` or `dim_revenue_classification` lookup table. Join to this table based on `unified_publication_name`, `cost_model_type`, and `revenue_group_subtype` to derive the `programmatic_type` dimension. This centralizes business logic and allows for easier updates.",high,high,43,5491badf-5ec0-4b4f-a427-b12a3a3395dd,hardcoded_variable,9.0,"'PMP', 'TUBI', 'PERFORMANCE', 'PG', 'OMP', 'PROGRAMMATIC SOURCE', 'Run of Audience Extension', 'GUARANTEED', 'NON-GUARANTEED'",,,,
filter_values,['2'],The filter `clmn9_ = 2` (which maps to `financial_quarter = 2`) is hardcoded in the first query's `WHERE` clause.,"Replace with a dashboard parameter for the financial quarter, or use relative date logic (e.g., `CURRENT_FINANCIAL_QUARTER()`).",medium,medium,43,5491badf-5ec0-4b4f-a427-b12a3a3395dd,hardcoded_variable,1.0,2,,,,
relative_offsets,"['0', '-1']",Used for `relative_fy_year_offset` to identify Current Year (0) and Previous Year (-1) data.,"While relative offsets are generally good, these specific values could be defined as named constants or parameters if the definition of 'current' or 'previous' ever changes or needs to be dynamic (e.g., '2 years ago').",low,low,43,5491badf-5ec0-4b4f-a427-b12a3a3395dd,hardcoded_variable,2.0,"0, -1",,,,
categories,"[""'Commercial Content'"", ""'Free News & Lifestyle'"", ""'State & Communities'"", ""'The Australian & Prestige'""]",Used to filter 'product_group' for 'advertiser_group' selection.,These product group names should be stored in a `product_group_lookup` table with a `category` or `dashboard_filter_group` column. The query should join to this table instead of hardcoding values.,high,high,44,d3bcf796-2396-4a6f-b0a3-da0b7f299a58,hardcoded_variable,4.0,"'Commercial Content', 'Free News & Lifestyle', 'State & Communities', 'The Australian & Prestige'",,,,
categories,"[""'Unknown'""]",Used to exclude 'Unknown' product groups when selecting 'fin_adtype_name'.,"Standardize 'Unknown' values or manage exclusions via a configuration table. If 'Unknown' is a valid category, its exclusion should be a configurable business rule.",medium,medium,44,d3bcf796-2396-4a6f-b0a3-da0b7f299a58,hardcoded_variable,1.0,'Unknown',,,,
categories,"[""'Free News & Lifestyle'"", ""'State & Communities'"", ""''""]","Used to filter 'product_group' for 'financial_week' selection, including an empty string.","Similar to other product group filters, these should be managed in a `product_group_lookup` table. The empty string `''` suggests potential data quality issues or an unhandled category that should be explicitly defined or cleaned.",high,high,44,d3bcf796-2396-4a6f-b0a3-da0b7f299a58,hardcoded_variable,3.0,"'Free News & Lifestyle', 'State & Communities', ''",,,,
business_rules,"['-1', '0', '1']",relative_fy_year_offset values for filtering financial years,Use a fiscal calendar table or parameters to dynamically determine these offsets based on current date.,medium,medium,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,3.0,"-1, 0, 1",,,,
lookup_codes,"[""'BILLED'"", ""'BOOKED'""]",revenue_transaction_status filter values,Store valid transaction statuses in a reference table and join to it.,high,high,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,2.0,"'BILLED', 'BOOKED'",,,,
lookup_codes,"[""'ROP COMPOSITE'""]",style_name exclusion filter value,Store excluded style names in a reference table.,medium,medium,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,1.0,'ROP COMPOSITE',,,,
lookup_codes,"[""'MEDIUM RARE CONTENT AGENCY'""]",source_publishing_division exclusion filter value,Store excluded publishing divisions in a reference table.,medium,medium,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,1.0,'MEDIUM RARE CONTENT AGENCY',,,,
business_rules,"[""'SUDDENLY%'"", ""'17114'"", ""'29172'"", ""'52809'""]",Complex logic for publication_name and account_number,Externalize this complex business rule into a configuration table or a dedicated rule engine.,high,high,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,4.0,"'SUDDENLY%', '17114', '29172', '52809'",,,,
categories,"[""'MRCA'"", ""'Client'""]",Sales_Group derivation logic,Manage sales group mappings in a configuration table.,low,low,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,2.0,"'MRCA', 'Client'",,,,
categories,"[""'CONSORTIUM NSW'"", ""'KEY ACCOUNTS NSW RETAIL'"", ""'DIRECT NSW'"", ""'INDEPENDENT AGENCIES NSW'"", ""'PRESTIGE'"", ""'Ian Paterson'""]",sales_segment_gm_name_sync mapping logic,Manage sales segment to GM mappings in a dedicated lookup table.,high,high,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,6.0,"'CONSORTIUM NSW', 'KEY ACCOUNTS NSW RETAIL', 'DIRECT NSW', 'INDEPENDENT AGENCIES NSW', 'PRESTIGE', 'Ian Paterson'",,,,
lookup_codes,"[""'PLUTO'""]",source_system_code for booking_line_created_date logic,Store valid source system codes in a reference table.,low,low,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,1.0,'PLUTO',,,,
lookup_codes,"[""'Y'""]",xtend_flag value for 'XTEND' derivation,"If 'Y'/'N' is a common pattern, consider a boolean column or a lookup for flag values.",low,low,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,1.0,'Y',,,,
lookup_codes,"[""'Digital Other'""]",sales_segment_l_2_name_sync value for 'is_digital_other_sales_segment_flag' derivation,Store sales segment categories in a reference table.,low,low,45,8956e94b-f6d1-46a3-9c7f-87a91fbe98b5,hardcoded_variable,1.0,'Digital Other',,,,
